model,method,n_bands,patch_size,fold,loss_fn,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
HybridSN,LASSO,10,11,summary,FocalLoss,0.6902+-0.1287,0.5713+-0.3403,0.7746+-0.2048,0.6225+-0.1619,0.8175+-0.0985,116.2563+-14.5629,0.0442+-0.0036
HybridSN,LASSO,100,11,summary,FocalLoss,0.7887+-0.1059,0.5674+-0.3707,0.9103+-0.0614,0.6986+-0.1912,0.9178+-0.0391,530.0747+-50.2035,0.0816+-0.0040
HybridSN,LASSO,20,11,summary,FocalLoss,0.7764+-0.0991,0.5914+-0.3861,0.8861+-0.0789,0.6892+-0.1853,0.9101+-0.0357,143.2933+-27.5635,0.0452+-0.0028
HybridSN,LASSO,4,11,summary,FocalLoss,0.5973+-0.1134,0.7385+-0.1076,0.5421+-0.1475,0.5862+-0.1033,0.7391+-0.1070,81.3100+-19.4423,0.0439+-0.0033
HybridSN,LASSO,50,11,summary,FocalLoss,0.7923+-0.0983,0.6245+-0.3515,0.8911+-0.0581,0.7226+-0.1616,0.9051+-0.0429,290.2567+-35.6858,0.0539+-0.0017
HybridSN,MI,10,11,summary,FocalLoss,0.6038+-0.1589,0.7290+-0.0879,0.5550+-0.1954,0.5938+-0.1501,0.7050+-0.1196,102.3490+-34.8697,0.0446+-0.0028
HybridSN,MI,100,11,summary,FocalLoss,0.6997+-0.0672,0.5491+-0.2499,0.7842+-0.0729,0.6389+-0.1013,0.7562+-0.0445,493.3127+-61.0678,0.0807+-0.0024
HybridSN,MI,20,11,summary,FocalLoss,0.5607+-0.1177,0.7574+-0.0949,0.4878+-0.1506,0.5547+-0.1136,0.7106+-0.0714,167.9760+-12.7975,0.0574+-0.0123
HybridSN,MI,4,11,summary,FocalLoss,0.5403+-0.0854,0.7800+-0.0840,0.4370+-0.1015,0.5351+-0.0828,0.7065+-0.0888,104.9623+-12.0349,0.0448+-0.0010
HybridSN,MI,50,11,summary,FocalLoss,0.6734+-0.1372,0.7139+-0.1338,0.6768+-0.2173,0.6515+-0.1252,0.7515+-0.0736,290.4957+-35.4443,0.0552+-0.0025
HybridSN,PCA,10,11,summary,FocalLoss,0.6324+-0.1491,0.4723+-0.3104,0.7285+-0.1897,0.5594+-0.1809,0.7218+-0.1561,124.2407+-13.3068,0.0440+-0.0013
HybridSN,PCA,100,11,summary,FocalLoss,0.6168+-0.1303,0.2896+-0.2148,0.7833+-0.2240,0.5015+-0.1332,0.6398+-0.1196,499.0020+-86.2100,0.0817+-0.0011
HybridSN,PCA,20,11,summary,FocalLoss,0.6302+-0.1494,0.4493+-0.2773,0.7337+-0.1923,0.5586+-0.1747,0.7322+-0.1482,139.7290+-20.1876,0.0444+-0.0027
HybridSN,PCA,4,11,summary,FocalLoss,0.6243+-0.1557,0.4831+-0.2746,0.7109+-0.2040,0.5626+-0.1722,0.7056+-0.1470,106.6460+-11.7645,0.0443+-0.0014
HybridSN,PCA,50,11,summary,FocalLoss,0.6291+-0.1185,0.3801+-0.2519,0.7593+-0.1494,0.5406+-0.1530,0.7088+-0.1332,231.4660+-56.1614,0.0532+-0.0012
