model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc
RF,FullSpectrum,699,summary,0.7059+-0.0846,0.4304+-0.3163,0.8556+-0.1621,0.5939+-0.1547,0.7672+-0.0969
RF,LASSO,10,summary,0.7070+-0.0874,0.4621+-0.3344,0.8450+-0.1748,0.6047+-0.1462,0.7702+-0.1008
RF,LASSO,100,summary,0.7187+-0.0899,0.4760+-0.3444,0.8562+-0.1641,0.6139+-0.1636,0.8061+-0.0756
RF,LASSO,20,summary,0.7125+-0.0840,0.4763+-0.3458,0.8473+-0.1630,0.6084+-0.1566,0.7836+-0.0883
RF,LASSO,4,summary,0.6885+-0.0821,0.4360+-0.2941,0.8270+-0.1814,0.5917+-0.1118,0.6791+-0.1325
RF,LASSO,50,summary,0.7169+-0.0876,0.4839+-0.3512,0.8506+-0.1617,0.6133+-0.1625,0.7965+-0.0843
RF,MI,10,summary,0.7456+-0.0306,0.4870+-0.0649,0.8636+-0.0726,0.6787+-0.0201,0.7027+-0.0613
RF,MI,100,summary,0.7307+-0.0549,0.5309+-0.1337,0.8319+-0.1062,0.6728+-0.0560,0.7579+-0.0607
RF,MI,20,summary,0.7493+-0.0283,0.4860+-0.0725,0.8703+-0.0686,0.6815+-0.0182,0.6941+-0.0621
RF,MI,4,summary,0.7343+-0.0377,0.4841+-0.0582,0.8484+-0.0820,0.6684+-0.0280,0.6985+-0.0604
RF,MI,50,summary,0.7454+-0.0319,0.4969+-0.0956,0.8627+-0.0799,0.6799+-0.0227,0.6989+-0.0711
RF,PCA,10,summary,0.6808+-0.0706,0.4093+-0.2197,0.8218+-0.1870,0.5900+-0.0455,0.7199+-0.0846
RF,PCA,100,summary,0.6782+-0.0510,0.3157+-0.2920,0.8610+-0.1557,0.5396+-0.0918,0.7606+-0.0791
RF,PCA,20,summary,0.6870+-0.0657,0.3987+-0.2414,0.8362+-0.1782,0.5885+-0.0582,0.7500+-0.0775
RF,PCA,4,summary,0.6870+-0.0412,0.3227+-0.1717,0.8598+-0.1421,0.5717+-0.0111,0.6814+-0.0593
RF,PCA,50,summary,0.6819+-0.0583,0.3534+-0.2753,0.8501+-0.1649,0.5614+-0.0840,0.7588+-0.0774
