model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms,git_sha,seed,code_version
RF,PCA,4,1,0.625933,0.569733,0.644667,0.576691,0.624537,3.428,0.015849,246487f,42,RF-v2-246487f
RF,PCA,4,2,0.695455,0.241333,0.954952,0.582622,0.668407,5.119,0.030725,246487f,42,RF-v2-246487f
RF,PCA,4,3,0.74439,0.198167,0.970414,0.577592,0.783989,5.109,0.020716,246487f,42,RF-v2-246487f
RF,PCA,10,1,0.5821,0.708667,0.539911,0.559234,0.648962,4.542,0.016201,246487f,42,RF-v2-246487f
RF,PCA,10,2,0.685879,0.196333,0.965619,0.554471,0.686228,6.172,0.023979,246487f,42,RF-v2-246487f
RF,PCA,10,3,0.790585,0.375167,0.962483,0.68929,0.87145,6.653,0.021936,246487f,42,RF-v2-246487f
RF,PCA,20,1,0.605467,0.723467,0.566133,0.580549,0.672095,5.759,0.017661,246487f,42,RF-v2-246487f
RF,PCA,20,2,0.675273,0.161833,0.968667,0.528772,0.728488,7.574,0.026337,246487f,42,RF-v2-246487f
RF,PCA,20,3,0.798341,0.379833,0.971517,0.698217,0.886095,8.161,0.025577,246487f,42,RF-v2-246487f
RF,PCA,50,1,0.637167,0.716267,0.6108,0.606531,0.689349,10.648,0.024147,246487f,42,RF-v2-246487f
RF,PCA,50,2,0.644121,0.069167,0.972667,0.450278,0.727971,14.121,0.022575,246487f,42,RF-v2-246487f
RF,PCA,50,3,0.788195,0.3325,0.976759,0.672982,0.901995,14.575,0.022097,246487f,42,RF-v2-246487f
RF,PCA,100,1,0.655267,0.7128,0.636089,0.621454,0.704382,17.39,0.022178,246487f,42,RF-v2-246487f
RF,PCA,100,2,0.635818,0.0395,0.976571,0.423252,0.718509,22.696,0.027976,246487f,42,RF-v2-246487f
RF,PCA,100,3,0.762732,0.237333,0.980138,0.611588,0.902934,22.685,0.024386,246487f,42,RF-v2-246487f
RF,MI,4,1,0.683667,0.57,0.721556,0.62389,0.648827,4.22,0.017512,246487f,42,RF-v2-246487f
RF,MI,4,2,0.736303,0.473333,0.886571,0.688408,0.685307,6.772,0.028577,246487f,42,RF-v2-246487f
RF,MI,4,3,0.80839,0.482333,0.94331,0.73508,0.820749,6.344,0.02262,246487f,42,RF-v2-246487f
RF,MI,10,1,0.711867,0.586267,0.753733,0.650604,0.662832,6.076,0.017221,246487f,42,RF-v2-246487f
RF,MI,10,2,0.748182,0.4675,0.908571,0.697838,0.683951,10.12,0.027792,246487f,42,RF-v2-246487f
RF,MI,10,3,0.814195,0.497167,0.945379,0.744173,0.83063,8.939,0.022559,246487f,42,RF-v2-246487f
RF,MI,20,1,0.7238,0.598267,0.765644,0.66303,0.677006,8.039,0.017109,246487f,42,RF-v2-246487f
RF,MI,20,2,0.741576,0.439167,0.914381,0.685524,0.653644,13.108,0.028153,246487f,42,RF-v2-246487f
RF,MI,20,3,0.813024,0.500167,0.942483,0.743639,0.820215,12.659,0.028717,246487f,42,RF-v2-246487f
RF,MI,50,1,0.711933,0.638533,0.7364,0.65942,0.700148,14.591,0.020844,246487f,42,RF-v2-246487f
RF,MI,50,2,0.739939,0.4175,0.92419,0.678795,0.636868,23.202,0.027967,246487f,42,RF-v2-246487f
RF,MI,50,3,0.819073,0.525,0.940759,0.754877,0.837284,19.887,0.025416,246487f,42,RF-v2-246487f
RF,MI,100,1,0.671333,0.672133,0.671067,0.629712,0.709176,19.182,0.020577,246487f,42,RF-v2-246487f
RF,MI,100,2,0.720909,0.3615,0.926286,0.646826,0.742608,31.869,0.029231,246487f,42,RF-v2-246487f
RF,MI,100,3,0.830585,0.636167,0.911034,0.785567,0.893539,25.365,0.028031,246487f,42,RF-v2-246487f
RF,LASSO,4,1,0.6279,0.769467,0.580711,0.604515,0.728354,3.07,0.019626,246487f,42,RF-v2-246487f
