model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
RF,FullSpectrum,699,summary,0.7111+-0.0834,0.4442+-0.3153,0.8567+-0.1571,0.6036+-0.1516,0.7833+-0.0921,58.2653+-15.0713,0.0425+-0.0021
RF,LASSO,10,summary,0.7140+-0.0927,0.4793+-0.3231,0.8467+-0.1718,0.6185+-0.1478,0.7882+-0.0964,12.7973+-2.8643,0.0355+-0.0051
RF,LASSO,100,summary,0.7259+-0.0943,0.4981+-0.3423,0.8564+-0.1600,0.6277+-0.1650,0.8181+-0.0734,16.3363+-4.6412,0.0213+-0.0018
RF,LASSO,20,summary,0.7194+-0.0869,0.4998+-0.3403,0.8464+-0.1585,0.6228+-0.1551,0.7995+-0.0775,8.7947+-1.9715,0.0246+-0.0006
RF,LASSO,4,summary,0.6987+-0.0895,0.4595+-0.2793,0.8305+-0.1766,0.6100+-0.1197,0.6961+-0.1273,4.3650+-0.9930,0.0256+-0.0058
RF,LASSO,50,summary,0.7237+-0.0896,0.5049+-0.3446,0.8505+-0.1572,0.6272+-0.1597,0.8132+-0.0715,11.1013+-3.1256,0.0205+-0.0034
RF,MI,10,summary,0.7581+-0.0424,0.5170+-0.0505,0.8692+-0.0830,0.6975+-0.0382,0.7258+-0.0746,8.3783+-1.6979,0.0225+-0.0043
RF,MI,100,summary,0.7409+-0.0665,0.5566+-0.1387,0.8361+-0.1169,0.6874+-0.0698,0.7818+-0.0802,25.4720+-5.1800,0.0259+-0.0038
RF,MI,20,summary,0.7595+-0.0386,0.5125+-0.0655,0.8742+-0.0776,0.6974+-0.0340,0.7170+-0.0736,11.2687+-2.2911,0.0247+-0.0053
RF,MI,4,summary,0.7428+-0.0511,0.5086+-0.0436,0.8505+-0.0941,0.6825+-0.0456,0.7183+-0.0740,5.7787+-1.1159,0.0229+-0.0045
RF,MI,50,summary,0.7570+-0.0454,0.5270+-0.0902,0.8671+-0.0927,0.6977+-0.0412,0.7248+-0.0837,19.2267+-3.5463,0.0247+-0.0029
RF,PCA,10,summary,0.6862+-0.0851,0.4267+-0.2123,0.8227+-0.1999,0.6010+-0.0625,0.7355+-0.0973,5.7890+-0.9034,0.0207+-0.0033
RF,PCA,100,summary,0.6846+-0.0558,0.3299+-0.2826,0.8643+-0.1614,0.5521+-0.0912,0.7753+-0.0905,20.9237+-2.4987,0.0248+-0.0024
RF,PCA,20,summary,0.6930+-0.0797,0.4217+-0.2312,0.8354+-0.1904,0.6025+-0.0709,0.7622+-0.0906,7.1647+-1.0224,0.0232+-0.0039
RF,PCA,4,summary,0.6886+-0.0486,0.3364+-0.1659,0.8567+-0.1500,0.5790+-0.0026,0.6923+-0.0673,4.5520+-0.7948,0.0224+-0.0062
RF,PCA,50,summary,0.6898+-0.0696,0.3726+-0.2657,0.8534+-0.1716,0.5766+-0.0933,0.7731+-0.0925,13.1147+-1.7540,0.0229+-0.0009
