model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
SVM,PCA,4,1,0.5167,0.698267,0.456178,0.502738,0.593898,165.456,2.187626
SVM,PCA,4,2,0.723576,0.4745,0.865905,0.677357,0.823914,336.632,3.243722
SVM,PCA,4,3,0.763951,0.406833,0.911724,0.673754,0.815084,340.128,3.14354
SVM,PCA,10,1,0.497467,0.798,0.397289,0.492547,0.598346,171.722,1.947331
SVM,PCA,10,2,0.694,0.365167,0.881905,0.625208,0.725063,289.335,2.51236
SVM,PCA,10,3,0.806049,0.504667,0.930759,0.737639,0.87478,573.985,8.11518
SVM,PCA,20,1,0.474133,0.812267,0.361422,0.47169,0.610447,556.758,5.254304
SVM,PCA,20,2,0.689394,0.3335,0.892762,0.611901,0.71744,1029.296,6.665785
SVM,PCA,20,3,0.802341,0.483,0.934483,0.729237,0.866202,1385.292,9.101927
SVM,PCA,50,1,0.5244,0.805733,0.430622,0.51727,0.615049,547.189,2.566972
SVM,PCA,50,2,0.692242,0.317167,0.906571,0.608923,0.71134,712.624,3.587097
SVM,PCA,50,3,0.800439,0.481333,0.932483,0.726991,0.827016,882.017,4.547908
SVM,PCA,100,1,0.529633,0.8044,0.438044,0.521869,0.625412,493.678,3.413756
SVM,PCA,100,2,0.688121,0.308667,0.904952,0.602723,0.714684,1718.785,9.923705
SVM,PCA,100,3,0.781366,0.4245,0.929034,0.694663,0.786192,1217.535,5.9823
SVM,MI,4,1,0.5876,0.675733,0.558222,0.560169,0.640998,291.921,4.046655
SVM,MI,4,2,0.746485,0.625167,0.81581,0.722886,0.71848,740.426,7.067261
SVM,MI,4,3,0.826976,0.6175,0.913655,0.779108,0.82391,717.763,7.141965
SVM,MI,10,1,0.584967,0.6776,0.554089,0.558194,0.641629,327.433,3.908842
SVM,MI,10,2,0.745212,0.621833,0.815714,0.72129,0.7088,837.309,7.410237
SVM,MI,10,3,0.826829,0.616667,0.913793,0.778831,0.816087,823.408,7.632641
SVM,MI,20,1,0.587833,0.675333,0.558667,0.560316,0.642725,414.848,4.499545
SVM,MI,20,2,0.741758,0.612333,0.815714,0.716881,0.685348,1039.285,8.260406
SVM,MI,20,3,0.824341,0.6115,0.912414,0.775511,0.798813,986.151,8.426048
SVM,MI,50,1,0.596133,0.6728,0.570578,0.566917,0.652579,612.466,4.817334
SVM,MI,50,2,0.734848,0.606,0.808476,0.709739,0.697742,1688.24,8.675432
SVM,MI,50,3,0.823024,0.614667,0.909241,0.774676,0.788368,1591.44,8.909153
SVM,MI,100,1,0.7124,0.6596,0.73,0.663081,0.742695,869.973,6.93656
SVM,MI,100,2,0.742606,0.627667,0.808286,0.719656,0.823012,2276.376,11.434732
SVM,MI,100,3,0.761805,0.738833,0.77131,0.73283,0.77248,2120.274,11.851456
SVM,LASSO,4,1,0.589333,0.828933,0.509467,0.57638,0.698326,212.503,2.959997
SVM,LASSO,4,2,0.601212,0.000333,0.944571,0.375758,0.495712,600.193,5.839847
SVM,LASSO,4,3,0.826732,0.576167,0.930414,0.772143,0.82653,518.667,5.760271
SVM,LASSO,10,1,0.6269,0.8652,0.547467,0.612262,0.751318,180.082,2.381862
SVM,LASSO,10,2,0.65097,0.1365,0.944952,0.498253,0.806677,511.316,4.921339
SVM,LASSO,10,3,0.836,0.66,0.908828,0.794437,0.858777,466.726,4.82708
SVM,LASSO,20,1,0.665367,0.8628,0.599556,0.645988,0.782793,182.293,2.160862
SVM,LASSO,20,2,0.718909,0.27,0.975429,0.613326,0.864574,568.574,4.595213
SVM,LASSO,20,3,0.864488,0.782333,0.898483,0.837657,0.900957,460.831,4.264132
SVM,LASSO,50,1,0.672867,0.8708,0.606889,0.653317,0.811731,268.337,2.375574
SVM,LASSO,50,2,0.726364,0.284,0.979143,0.625047,0.877905,905.61,4.601807
SVM,LASSO,50,3,0.881073,0.829333,0.902483,0.859007,0.925611,825.316,4.66894
SVM,LASSO,100,1,0.675,0.840133,0.619956,0.65241,0.772032,376.67,2.844973
SVM,LASSO,100,2,0.718303,0.256,0.982476,0.607033,0.909182,1158.147,5.872686
SVM,LASSO,100,3,0.903707,0.781,0.954483,0.879725,0.936685,674.427,5.336508
SVM,FullSpectrum,699,1,0.676633,0.780667,0.641956,0.647761,0.742792,1294.789,11.516331
SVM,FullSpectrum,699,2,0.679515,0.132833,0.991905,0.514576,0.898284,4655.506,23.102206
SVM,FullSpectrum,699,3,0.897366,0.739667,0.962621,0.869146,0.944351,2883.614,19.468183
