model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
SVM,FullSpectrum,699,summary,0.7512+-0.1034,0.5511+-0.2962,0.8655+-0.1585,0.6772+-0.1462,0.8618+-0.0862,2944.6363+-1372.6853,18.0289+-4.8382
SVM,LASSO,10,summary,0.7046+-0.0934,0.5539+-0.3068,0.8004+-0.1795,0.6350+-0.1220,0.8056+-0.0439,386.0413+-146.7685,4.0434+-1.1755
SVM,LASSO,100,summary,0.7657+-0.0992,0.6257+-0.2625,0.8523+-0.1647,0.7131+-0.1193,0.8726+-0.0720,736.4147+-322.0336,4.6847+-1.3192
SVM,LASSO,20,summary,0.7496+-0.0841,0.6384+-0.2625,0.8245+-0.1621,0.6990+-0.0990,0.8494+-0.0494,403.8993+-162.7558,3.6734+-1.0780
SVM,LASSO,4,summary,0.6724+-0.1092,0.4685+-0.3467,0.7948+-0.2019,0.5748+-0.1618,0.6735+-0.1362,443.7877+-166.8953,4.8534+-1.3392
SVM,LASSO,50,summary,0.7601+-0.0883,0.6614+-0.2674,0.8295+-0.1605,0.7125+-0.1043,0.8717+-0.0467,666.4210+-283.3901,3.8821+-1.0656
SVM,MI,10,summary,0.7190+-0.1005,0.6387+-0.0276,0.7612+-0.1518,0.6861+-0.0934,0.7222+-0.0718,662.7167+-237.1493,6.3172+-1.7054
SVM,MI,100,summary,0.7389+-0.0203,0.6754+-0.0467,0.7699+-0.0320,0.7052+-0.0303,0.7794+-0.0332,1755.5410+-629.4256,10.0742+-2.2252
SVM,MI,20,summary,0.7180+-0.0980,0.6331+-0.0299,0.7623+-0.1493,0.6842+-0.0908,0.7090+-0.0659,813.4280+-282.6722,7.0620+-1.8132
SVM,MI,4,summary,0.7204+-0.0995,0.6395+-0.0258,0.7626+-0.1499,0.6874+-0.0928,0.7278+-0.0750,583.3700+-206.2931,6.0853+-1.4419
SVM,MI,50,summary,0.7180+-0.0934,0.6312+-0.0297,0.7628+-0.1420,0.6838+-0.0868,0.7129+-0.0565,1297.3820+-485.9184,7.4673+-1.8762
SVM,PCA,10,summary,0.6658+-0.1275,0.5559+-0.1804,0.7367+-0.2408,0.6185+-0.1002,0.7327+-0.1130,345.0140+-168.8767,4.1916+-2.7839
SVM,PCA,100,summary,0.6664+-0.1039,0.5125+-0.2117,0.7573+-0.2260,0.6064+-0.0706,0.7088+-0.0658,1143.3327+-502.8925,6.4399+-2.6773
SVM,PCA,20,summary,0.6553+-0.1361,0.5429+-0.2000,0.7296+-0.2609,0.6043+-0.1053,0.7314+-0.1049,990.4487+-339.3611,7.0073+-1.5892
SVM,PCA,4,summary,0.6681+-0.1083,0.5265+-0.1245,0.7446+-0.2048,0.6179+-0.0815,0.7443+-0.1064,280.7387+-81.5296,2.8583+-0.4760
SVM,PCA,50,summary,0.6724+-0.1136,0.5347+-0.2030,0.7566+-0.2307,0.6177+-0.0858,0.7178+-0.0867,713.9433+-136.6961,3.5673+-0.8088
