model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms,git_sha,seed,code_version
SVM,PCA,4,1,0.509833,0.705867,0.444489,0.497462,0.586169,132.136,2.103506,8a93540,42,SVM-v2-8a93540
SVM,PCA,4,2,0.723636,0.4745,0.866,0.67741,0.820523,522.401,7.578659,8a93540,42,SVM-v2-8a93540
SVM,PCA,4,3,0.784098,0.456833,0.919517,0.705469,0.840371,705.171,7.759347,8a93540,42,SVM-v2-8a93540
SVM,PCA,10,1,0.480667,0.793067,0.376533,0.476964,0.592185,387.452,4.877696,8a93540,42,SVM-v2-8a93540
SVM,PCA,10,2,0.707939,0.387833,0.890857,0.643231,0.747155,627.809,6.087073,8a93540,42,SVM-v2-8a93540
SVM,PCA,10,3,0.838488,0.5855,0.943172,0.785857,0.901429,801.493,7.464212,8a93540,42,SVM-v2-8a93540
SVM,PCA,20,1,0.460233,0.8024,0.346178,0.458346,0.606034,462.86,5.157143,8a93540,42,SVM-v2-8a93540
SVM,PCA,20,2,0.699273,0.351,0.898286,0.625432,0.730349,798.524,6.560287,8a93540,42,SVM-v2-8a93540
SVM,PCA,20,3,0.835122,0.5675,0.945862,0.779299,0.890678,1092.198,8.271837,8a93540,42,SVM-v2-8a93540
SVM,PCA,50,1,0.5082,0.783333,0.416489,0.501429,0.602017,731.179,5.517615,8a93540,42,SVM-v2-8a93540
SVM,PCA,50,2,0.702,0.336167,0.911048,0.623109,0.732215,1627.632,7.578804,8a93540,42,SVM-v2-8a93540
SVM,PCA,50,3,0.833073,0.565333,0.943862,0.776791,0.87071,2073.793,10.054251,8a93540,42,SVM-v2-8a93540
SVM,PCA,100,1,0.517167,0.795733,0.424311,0.510196,0.619029,1003.127,8.105004,8a93540,42,SVM-v2-8a93540
SVM,PCA,100,2,0.700424,0.323667,0.915714,0.617765,0.734638,1993.494,10.298715,8a93540,42,SVM-v2-8a93540
SVM,PCA,100,3,0.81361,0.496333,0.944897,0.743404,0.837465,2401.988,13.17862,8a93540,42,SVM-v2-8a93540
SVM,MI,4,1,0.572267,0.671467,0.5392,0.546918,0.637737,302.88,4.212413,8a93540,42,SVM-v2-8a93540
