model,method,n_bands,patch_size,token_size,fold,loss_fn,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms,git_sha,seed,code_version
RF,PCA,4,,,1,,0.6351,0.5628,0.6592,0.582922,0.625201,,,,,
RF,PCA,4,,,2,,0.690242,0.234333,0.950762,0.575552,0.655705,,,,,
RF,PCA,4,,,3,,0.735756,0.171,0.969448,0.556592,0.763341,,,,,
RF,PCA,10,,,1,,0.595567,0.71,0.557422,0.570723,0.659966,,,,,
RF,PCA,10,,,2,,0.678485,0.191,0.957048,0.546432,0.660209,,,,,
RF,PCA,10,,,3,,0.76839,0.327,0.951034,0.652811,0.839493,,,,,
RF,PCA,20,,,1,,0.619467,0.725333,0.584178,0.5926,0.68118,,,,,
RF,PCA,20,,,2,,0.665455,0.1495,0.960286,0.51519,0.710509,,,,,
RF,PCA,20,,,3,,0.776049,0.321167,0.964276,0.657671,0.858236,,,,,
RF,PCA,50,,,1,,0.643533,0.723467,0.616889,0.612784,0.694568,,,,,
RF,PCA,50,,,2,,0.637818,0.063833,0.96581,0.443014,0.714156,,,,,
RF,PCA,50,,,3,,0.764244,0.272833,0.967586,0.628459,0.86778,,,,,
RF,PCA,100,,,1,,0.66,0.7172,0.640933,0.626028,0.705721,,,,,
RF,PCA,100,,,2,,0.626848,0.031333,0.967143,0.412462,0.703736,,,,,
RF,PCA,100,,,3,,0.747707,0.1985,0.974966,0.580346,0.87248,,,,,
RF,MI,4,,,1,,0.6938,0.564933,0.736756,0.631442,0.65097,,,,,
RF,MI,4,,,2,,0.724545,0.457667,0.877048,0.674624,0.660847,,,,,
RF,MI,4,,,3,,0.784585,0.429833,0.931379,0.699115,0.78372,,,,,
RF,MI,10,,,1,,0.7176,0.578267,0.764044,0.654098,0.664794,,,,,
RF,MI,10,,,2,,0.73103,0.449833,0.891714,0.678605,0.654269,,,,,
RF,MI,10,,,3,,0.788098,0.433,0.935034,0.703287,0.789153,,,,,
RF,MI,20,,,1,,0.728133,0.588267,0.774756,0.665042,0.682169,,,,,
RF,MI,20,,,2,,0.730303,0.4275,0.903333,0.672741,0.62474,,,,,
RF,MI,20,,,3,,0.789317,0.442333,0.932897,0.70685,0.775419,,,,,
RF,MI,50,,,1,,0.7197,0.6284,0.750133,0.66454,0.707094,,,,,
RF,MI,50,,,2,,0.726121,0.403833,0.910286,0.66313,0.608062,,,,,
RF,MI,50,,,3,,0.790439,0.4585,0.927793,0.71193,0.781646,,,,,
RF,MI,100,,,1,,0.678067,0.6668,0.681822,0.634667,0.707647,,,,,
RF,MI,100,,,2,,0.707515,0.349167,0.912286,0.631756,0.722715,,,,,
